"X.U.FEFF.id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G01Q04","G01Q04.other.","AX1","AX10","AX11","AX12","AX13","AX14","AX15","AX16","AX2","AX3","AX4","AX5","AX6","AX7","AX8","AX9","BX1","BX10","BX11","BX12","BX13","BX14","BX15","BX16","BX2","BX3","BX4","BX5","BX6","BX7","BX8","BX9","CX1","CX10","CX11","CX12","CX13","CX14","CX15","CX16","CX2","CX3","CX4","CX5","CX6","CX7","CX8","CX9","DX1","DX10","DX11","DX12","DX13","DX14","DX15","DX16","DX2","DX3","DX4","DX5","DX6","DX7","DX8","DX9","EX1","EX10","EX11","EX12","EX13","EX14","EX15","EX16","EX2","EX3","EX4","EX5","EX6","EX7","EX8","EX9","FX1","FX10","FX11","FX12","FX13","FX14","FX15","FX16","FX2","FX3","FX4","FX5","FX6","FX7","FX8","FX9","GX1","GX10","GX11","GX12","GX13","GX14","GX15","GX16","GX2","GX3","GX4","GX5","GX6","GX7","GX8","GX9","HX1","HX10","HX11","HX12","HX13","HX14","HX15","HX16","HX2","HX3","HX4","HX5","HX6","HX7","HX8","HX9","NPOPX1801","NPOPX1802","NPOPX1803","NPOPX1804","NPOPX1805","NPOPX1806","NPOPX1807","NPOPX1808","NPOPX1809","NPOPX1810","NPOPX1811","NPOPX1812","NPOPX1813","NPOPX1814","NPOPX1815","NPOPX1816","OAX19","OAX20","OAX21","OBX19","OBX20","OBX21","OCX19","OCX20","OCX21","ODX19","ODX20","ODX21","OEX19","OEX20","OEX21","OFX19","OFX20","OFX21","OGX19","OGX20","OGX21","OHX19","OHX20","OHX21","POPX1701","POPX1702","POPX1703","POPX1704","POPX1705","POPX1706","POPX1707","POPX1708","POPX1709","POPX1710","POPX1711","POPX1712","POPX1713","POPX1714","POPX1715","POPX1716"
3,"1980-01-01 00:00:00",53,"fi",1128865413,"40 - 49","nainen","Korkeakoulusta jo valmistunut","Etel‰-Savosta","x","x","x","x","x","x","x","-2","+2","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-3","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-2","x","x","x","x","x","x","x","x","x","x","-2","-2","-3","-3","-3","-3","-2","-2","-2","-3","-2","-3","-2","-3","-2","-2","x","-2","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","+2","+2","+2","+3","+2","+3","+2","+3","+3","+3","+2","+2","+3","+3","+3"
3,"1980-01-01 00:00:00",53,"fi",1326013604,"60 tai vanhempi","nainen","Toisen asteen koulutus","Keski-Suomesta","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+2","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","-3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","0","+1","-1","+1","+1","-3","0","+2","0","-3","-1","-3","+1","+1","0","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","x","+1","x","+2","x","x","+2","+2","+2","+3","+3","+3","+3","+3","+2","+2","+2","+2","+3","0","0","+3"
3,"1980-01-01 00:00:00",53,"fi",2140133363,"21 - 29","nainen","Korkeakoulusta jo valmistunut","Uusimaalta","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","-1","+1","-2","-1","-2","+1","+2","-1","-3","-2","-1","-2","-2","-2","-1","x","x","x","x","x","-1","x","+3","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","+3","+3","+3","+3","+3","+1","+3","+3","+3","+2","+3","+3","+2","+3"
4,"1980-01-01 00:00:00",53,"fi",516052807,"40 - 49","mies","Korkeakoulusta jo valmistunut","Uusimaalta","x","x","x","x","x","x","x","+1","-1","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","0","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","0","-3","-3","-3","-3","-1","-1","-1","0","-3","-2","-2","-1","-1","-2","-2","x","-1","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-1","+2","+2","+2","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
4,"1980-01-01 00:00:00",53,"fi",812580544,"40 - 49","nainen","Korkeakoulusta jo valmistunut","Pohjois-Savosta","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","-1","x","x","x","x","x","-3","-2","-3","-3","-3","-3","-3","-3","-2","-3","-3","-2","-3","-3","-2","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","x","-3","x","-2","x","x","x","x","x","+2","0","+2","+3","+3","+3","+3","+3","+3","+3","+1","+3","+3","+1","+2","+3"
4,"1980-01-01 00:00:00",53,"fi",1192270363,"60 tai vanhempi","mies","Toisen asteen koulutus","Uusimaalta","x","+2","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-2","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-2","x","x","x","x","x","x","x","x","+1","-2","-2","-1","-3","-2","-2","-1","+1","-3","-1","+1","+1","0","0","-1","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","+1","x","+2","+2","+3","+3","+3","+3","+3","-3","+3","+3","+3","+3","+3","+3","-1","+3"
4,"1980-01-01 00:00:00",53,"fi",1625367385,"40 - 49","nainen","Korkeakoulusta jo valmistunut","Pirkanmaalta","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-2","x","-3","-3","-3","-3","-3","-3","-3","-3","-1","-3","-3","+1","-3","-3","-3","-2","x","x","x","x","x","x","x","x","-3","x","-3","x","+2","x","x","x","x","x","x","x","x","x","x","x","+2","-3","+3","-2","+1","+3","+3","+3","+3","+3","+3","+3","+3","+3","+1","+3"
4,"1980-01-01 00:00:00",53,"fi",1738710515,"60 tai vanhempi","nainen","Korkeakoulusta jo valmistunut","Muu","Syntyisin Uudeltamaalta, mutta vanhemmat puhuivat Etel‰-Karjalan murretta.","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+1","x","x","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+3","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","+3","x","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","x","x","x","-2","-2","-1","-2","-3","-2","-1","-2","-1","-3","-3","-2","-3","-2","-2","-1","x","x","x","x","x","x","x","x","x","x","x","-2","x","+2","x","+1","x","x","x","x","x","x","x","x","+1","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3","+3"
4,"1980-01-01 00:00:00",53,"fi",2076374623,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Uusimaalta","","x","x","x","x","+3","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","+3","x","x","x","x","x","x","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","+3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","-3","x","x","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+1","-1","x","x","x","x","x","x","x","x","x","x","x","x","-3","-1","-3","-3","-3","-3","-3","-3","-2","-3","-2","-3","-3","-3","-3","-3","x","x","-3","x","-3","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+3","+3","+3","+3","+3","+3","+3","+3","+2","+1","+3","+3","+3","+2","+3"
5,"1980-01-01 00:00:00",53,"fi",86915624,"21 - 29","mies","Alempi kuin toisen asteen koulutus","Uusimaalta","x","x","x","x","x","x","x","x","x","x","x","x","-1","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","0","+1","x","x","-1","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+1","+2","x","x","x","x","x","x","x","x","+1","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","+2","+3","+1","+1","+1","+1","+3","+1","+1","-2","+1","+1","+1","+1","+1","+1","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","x","-1","x","+1","x","x","x","x","x","+1","+3","+1","+2","+1","+1","+3","+1","+3","+1","+1","+1","+2","+2","+1","+3"
5,"1980-01-01 00:00:00",53,"fi",338361435,"30 - 39","nainen","Korkeakoulusta jo valmistunut","Varsinais-Suomesta","","x","x","x","x","x","x","x","x","x","x","x","x","x","+3","-3","x","x","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","-1","x","x","+3","+2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","-2","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","+2","+2","x","x","x","x","x","x","x","x","+2","x","x","x","x","x","x","x","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-2","-3","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","-3","+3","x","x","x","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","-3","x","x","x","x","x","x","x","x","x","x","x","-3","x","+1","x","-3","x","x","x","x","x","x","x","x","-1","+1","+3","+2","-1","+3","+3","-1","+3","+3","+1","+3","+3","+3","+3","+3"
